symbol,timestamp,open_price,high_price,low_price,close_price,volume,source
NIFTY50-INDX,2026-08-25T09:15:00Z,245.50,247.20,244.80,246.80,1500000,synthetic_demo
NIFTY50-INDX,2026-08-26T09:15:00Z,247.00,248.50,246.20,247.90,1450000,synthetic_demo
NIFTY50-INDX,2026-08-27T09:15:00Z,248.10,249.00,247.50,248.60,1600000,synthetic_demo
NIFTY50-INDX,2026-08-28T09:15:00Z,248.80,250.40,248.00,249.90,1750000,synthetic_demo
NIFTY50-INDX,2026-08-29T09:15:00Z,250.00,251.50,249.20,250.80,1680000,synthetic_demo
FLEXICAP-EQ,2026-08-25T09:15:00Z,78.20,79.10,77.90,78.90,850000,synthetic_demo
FLEXICAP-EQ,2026-08-26T09:15:00Z,79.00,79.80,78.60,79.50,900000,synthetic_demo
FLEXICAP-EQ,2026-08-27T09:15:00Z,79.60,80.40,79.20,80.10,870000,synthetic_demo
FLEXICAP-EQ,2026-08-28T09:15:00Z,80.20,81.00,79.80,80.70,920000,synthetic_demo
FLEXICAP-EQ,2026-08-29T09:15:00Z,80.80,81.50,80.30,81.20,950000,synthetic_demo
MIDCAP-EQ,2026-08-25T09:15:00Z,162.00,164.50,161.20,163.80,620000,synthetic_demo
MIDCAP-EQ,2026-08-26T09:15:00Z,164.00,166.00,163.10,165.20,680000,synthetic_demo
MIDCAP-EQ,2026-08-27T09:15:00Z,165.50,167.20,164.80,166.50,640000,synthetic_demo
MIDCAP-EQ,2026-08-28T09:15:00Z,166.80,168.90,165.90,168.00,710000,synthetic_demo
MIDCAP-EQ,2026-08-29T09:15:00Z,168.20,170.00,167.50,169.40,730000,synthetic_demo
CORPBOND-DBT,2026-08-25T09:15:00Z,28.40,28.42,28.39,28.41,300000,synthetic_demo
CORPBOND-DBT,2026-08-26T09:15:00Z,28.42,28.44,28.41,28.43,320000,synthetic_demo
CORPBOND-DBT,2026-08-27T09:15:00Z,28.43,28.46,28.42,28.45,310000,synthetic_demo
CORPBOND-DBT,2026-08-28T09:15:00Z,28.45,28.48,28.44,28.47,330000,synthetic_demo
CORPBOND-DBT,2026-08-29T09:15:00Z,28.47,28.50,28.46,28.49,340000,synthetic_demo
SGB-GOLD,2026-08-25T09:15:00Z,6250.00,6280.00,6230.00,6265.00,50000,synthetic_demo
SGB-GOLD,2026-08-26T09:15:00Z,6270.00,6300.00,6250.00,6290.00,55000,synthetic_demo
SGB-GOLD,2026-08-27T09:15:00Z,6295.00,6320.00,6275.00,6310.00,52000,synthetic_demo
SGB-GOLD,2026-08-28T09:15:00Z,6315.00,6340.00,6290.00,6325.00,58000,synthetic_demo
SGB-GOLD,2026-08-29T09:15:00Z,6330.00,6360.00,6310.00,6345.00,60000,synthetic_demo
GOLDetf-COMM,2026-08-25T09:15:00Z,58.20,58.60,58.00,58.45,450000,synthetic_demo
GOLDetf-COMM,2026-08-26T09:15:00Z,58.50,58.90,58.30,58.75,480000,synthetic_demo
GOLDetf-COMM,2026-08-27T09:15:00Z,58.80,59.15,58.60,59.00,460000,synthetic_demo
GOLDetf-COMM,2026-08-28T09:15:00Z,59.05,59.40,58.85,59.20,510000,synthetic_demo
GOLDetf-COMM,2026-08-29T09:15:00Z,59.25,59.60,59.10,59.40,530000,synthetic_demo
LIQUID-CSH,2026-08-25T09:15:00Z,1000.00,1000.18,1000.00,1000.18,200000,synthetic_demo
LIQUID-CSH,2026-08-26T09:15:00Z,1000.18,1000.36,1000.18,1000.36,210000,synthetic_demo
LIQUID-CSH,2026-08-27T09:15:00Z,1000.36,1000.54,1000.36,1000.54,205000,synthetic_demo
LIQUID-CSH,2026-08-28T09:15:00Z,1000.54,1000.72,1000.54,1000.72,215000,synthetic_demo
LIQUID-CSH,2026-08-29T09:15:00Z,1000.72,1000.90,1000.72,1000.90,220000,synthetic_demo
HYBRID-BAL,2026-08-25T09:15:00Z,230.50,232.00,229.80,231.40,400000,synthetic_demo
HYBRID-BAL,2026-08-26T09:15:00Z,231.60,233.10,230.90,232.50,420000,synthetic_demo
HYBRID-BAL,2026-08-27T09:15:00Z,232.80,234.00,232.00,233.40,410000,synthetic_demo
HYBRID-BAL,2026-08-28T09:15:00Z,233.60,235.00,232.90,234.50,435000,synthetic_demo
HYBRID-BAL,2026-08-29T09:15:00Z,234.70,236.20,234.00,235.60,450000,synthetic_demo
RELIANCE-EQ,2026-08-25T09:15:00Z,2950.00,2980.00,2935.00,2968.00,2800000,synthetic_demo
RELIANCE-EQ,2026-08-26T09:15:00Z,2972.00,3005.00,2960.00,2992.00,2950000,synthetic_demo
RELIANCE-EQ,2026-08-27T09:15:00Z,2995.00,3020.00,2980.00,3008.00,2700000,synthetic_demo
RELIANCE-EQ,2026-08-28T09:15:00Z,3010.00,3045.00,2995.00,3032.00,3100000,synthetic_demo
RELIANCE-EQ,2026-08-29T09:15:00Z,3035.00,3060.00,3020.00,3048.00,3200000,synthetic_demo
